ID,Título,Ano,Contexto - Domínio,Domínio,Pergunta,Resposta,Justificativa,Study,,Classification,,Nome,Ano,Key,,FEITO,A FAZER
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"Os dados foram coletados do dataset EMBED, com medições de residências reais (1–2 ocupantes, por 14 a 27 dias).",Low,,No information,,"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,1,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,No information,"O estudo menciona que dados inconsistentes e comportamentos de alta frequência foram eliminados para melhorar a precisão da previsão, mas não detalha critérios formais ou limiares quantitativos.",,,Low,,Non-intrusive Load Monitoring for Residential Customers Using Adaptive-Neuro Fuzzy Interface System and Fine Tree Classifier,2020,2,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Retrospectivamente. Utilizou-se o dataset EMBED de acesso aberto, com dados já disponíveis publicamente, portanto não houve coleta prospectiva pelos autores.",,,Some concerns,,A Binary Weight-based Energy Disaggregation Framework for Residential Electricity Consumption,2022,3,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"O dataset EMBED contém dados reais com alta resolução (12 kHz para corrente e tensão) e power resolution de 60 Hz, o que é apropriado para desagregação NILM em ambientes residenciais.",Low,,High,,A Machine Learning Approach for NILM based on Superimposed Current Profiles,2020,4,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"A arquitetura do modelo foi descrita com detalhes: RNN com 2 camadas LSTM, função de ativação tanh, softmax na saída, e implementação feita em Python.",Low,,,,An Event-Driven Convolutional Neural Architecture for Non-Intrusive Load Monitoring of Residential Appliance,2020,5,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Low,"Sim, os hiperparâmetros e configurações do modelo foram reportados.",,,,,Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,6,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,"Sim, o treinamento e a validação foram realizados em conjuntos de dados separados. A Seção 4.1",,,,,Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,7,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem de ML utilizada está alinhada com o problema de NILM. O artigo propõe uma abordagem baseada em Deep Learning, especificamente RNNs, para prever cargas de edifícios utilizando NILM.",Low,,,,Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,8,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Some concerns,"O estudo descreve que o modelo prevê ""building loads"", e a avaliação é feita comparando as previsões com os dados de consumo de energia reais. ",Some concerns,,,,A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,9,,,
[7],"A novel approach to predict buildings load based on deep learning and non-intrusive load monitoring technique, toward smart building",2024,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Os dados reais do dataset são independentes do modelo de ML, sendo utilizados para avaliar predições feitas a partir da rede treinada.",,,,,Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,10,,,
