Study,Domain 1,Domain 2,Domain 3,Domain 4
[7],Low,Low,Some Concerns,Low
[8],Low,Low,Low,Low
[9],Low,Low,Low,Low
[10],Low,Low,Low,Low
[11],Low,Low,Low,Low
[12],Low,Low,Low,Low
[13],Low,Low,Low,Low
[14],Low,Low,Low,Low
[15],Low,Low,Low,Low
[16],Low,Low,Low,Low
[17],Low,Low,Low,Low
[18],Low,Low,Low,Low
[19],Low,Low,Low,Low
[20],Low,Low,Low,Low
[21],Low,Low,Low,Low
[22],Low,Low,Low,Low
[23],Low,Low,Low,Low
[24],Low,Low,Low,Low
[25],Low,Low,Low,Low
[26],Low,Low,Low,Low
[27],Low,Low,Low,Low
[28],Low,Low,Low,Low
[29],Low,Low,Low,Some Concerns
[30],Some Concerns,Low,No Information,Low
[31],Low,Low,Some Concerns,Some Concerns
[32],Low,Low,Low,Low
[33],Low,Low,Low,Low
[34],Low,Low,Low,Low
[35],Low,Low,Low,Low
[36],Low,Low,Low,Low

